data,price,ClusterLabels,year,month,plotDate
2022-02-15,8450,1,2022,2,2
2022-02-15,9200,1,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,12700,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,20500,0,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,12500,1,2022,2,2
2022-02-15,11500,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,16490,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,14000,0,2022,2,2
2022-02-15,14000,0,2022,2,2
2022-02-15,17150,0,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,13490,0,2022,2,2
2022-02-15,15800,0,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,6850,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,10500,0,2022,2,2
2022-02-15,9490,0,2022,2,2
2022-02-15,10900,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,5300,1,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,12500,1,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,8790,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,9300,0,2022,2,2
2022-02-15,11900,0,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,14500,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,10700,1,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,22900,0,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,18900,0,2022,2,2
2022-02-15,7500,0,2022,2,2
2022-02-15,17900,0,2022,2,2
